,hood_id,number of bike shops,latitude,longtitude,bike_thefts,score
0,63,2,43.678605,-79.298545,318,159.0
1,93,3,43.659445,-79.438373,645,215.0
2,108,1,43.700106,-79.455196,75,75.0
3,98,1,43.679665,-79.39044,435,435.0
4,95,2,43.665978,-79.408041,947,473.5
5,89,1,43.665395,-79.491285,107,107.0
6,55,2,43.712479,-79.359956,66,33.0
7,99,2,43.716364,-79.400132,152,76.0
8,127,1,43.772943,-79.254122,66,66.0
9,69,1,43.67908,-79.34343,94,94.0
10,65,1,43.666157,-79.317863,223,223.0
11,70,2,43.666456,-79.342554,716,358.0
12,77,4,43.653676,-79.353948,2576,644.0
13,73,2,43.660651,-79.370593,801,400.5
14,42,1,43.73541,-79.345005,49,49.0
15,100,1,43.699949,-79.397231,145,145.0
16,79,3,43.660509,-79.399873,780,260.0
17,78,1,43.655593,-79.398761,840,840.0
18,81,2,43.651935,-79.40893,408,204.0
19,94,1,43.681901,-79.423778,160,160.0
20,80,3,43.66201,-79.424755,380,126.67
21,82,1,43.639474,-79.418952,992,992.0
22,84,1,43.643181,-79.42277,395,395.0
23,107,1,43.686767,-79.44636,99,99.0
24,83,1,43.650086,-79.435843,257,257.0
25,86,2,43.641123,-79.434827,339,169.5
26,38,1,43.765604,-79.412219,48,48.0
27,88,2,43.656016,-79.454561,340,170.0
28,85,1,43.639218,-79.443304,295,295.0
29,90,2,43.675082,-79.471754,156,78.0
30,31,1,43.721455,-79.467434,119,119.0
